カリル,通常,大丈夫？気がついたかい？,s,2,なし,
カリル,通常,まったく、ファイルは積み重ねすぎないようにとあれだけ言ってあげてるのに。,s,2,なし,
フェイ,通常,......あれ？生きてる？,s,2,なし,
カリル,通常,え？,s,2,なし,
カリル,通常,...あっはは！！ファイルが崩れたくらいじゃ死なないよ！,s,2,揺らす,
カリル,通常,今日はいつもに増しておもしろいことを言ってくれるね！,s,2,なし,
フェイ,通常,こ、ここ、どこですか...？,s,2,なし,
カリル,通常,え？なんだって？,s,2,なし,
フェイ,通常,なんで...なんで憧れのカリル教授が目の前に...！？,s,2,揺らす,
フィルウ,通常,どうしたのフェイ？頭を打ったのかい？,r,2,なし,
フェイ,通常,フィ、フィルウさんまで！？,l,2,なし,
フェイ,通常,（一体どうしてこんなことになって...！）,l,2,なし,
フィルウ,通常,先生。この子、おかしいですよ。病院連れていきますか？,r,2,なし,
カリル,通常,うーん、そうだねえ。一応、変なところを打ってないか、診てもらった方がいいかもね。,l,2,なし,
フィルウ,通常,それじゃあ、僕が付き添ってきますね。,r,2,なし,
カリル,通常,よろしくね。ここの片付けはやっておくから...,l,2,なし,
フィルウ,通常,いえ！それも僕が！,r,2,なし,
カリル,通常,そうかい？じゃあ...任せるね。,l,2,なし,
フィルウ,通常,はい！！よろこんで！！！！,r,2,なし,
フィルウ,通常,フェイ、5分待ってて！そのうちに支度済ませておいてね！,a,2,なし,
フェイ,通常,え、あっ？はい！,s,2,なし,フェードアウト
フィルウ,表示しない,先生、ただいま戻りましたー。,s,2,なし,
カリル,表示しない,おかえりー！手を洗ったらこちらへおいでー！,s,2,なし,
フェイ,表示しない,（親子か...？？）,s,2,なし,フェードアウト
フィルウ,通常,ゲ。,s,2,なし,
アガスティーア,通常,『ゲ』とはなんだニーロン助手。そんなに私と顔を合わせるのが嫌か？,s,2,なし,
フィルウ,通常,アハハ、ご無沙汰しておりますセムル教授。今日もお美しいですね。,r,2,なし,
フェイ,通常,（なっ...！？！？！？！？！？）,s,2,なし,
フェイ,通常,（カリル教授と並ぶほどの権威者であるあのアガスティーア・セムルまで...！？）,s,2,なし,
フェイ,通常,（この研究室、僕にとっての天国みたいだ...！！）,s,2,なし,
アガスティーア,通常,ん？フェイ助手もいるのか。,l,2,なし,
カリル,通常,この子ねー、今日の朝レポート用紙に潰されちゃってさー。,r,2,なし,
フィルウ,通常,診断は記憶障害でした。カリル先生。,l,2,なし,
カリル,通常,あららー...お大事にね。,r,2,なし,
アガスティーア,通常,災難だったな。コイツが研究室を散らかし続けるせいで。,l,2,なし,
カリル,通常,えー？私のせいかい？昨日はそんなに散らかさなかったんだけども！,r,2,なし,
アガスティーア,通常,嘘をつけ！これのどこが散らかっていないというのだ！,l,2,なし,
フィルウ,通常,先生はめっぽう片付けが苦手なんです。片付けようとすると余計散らかってしまって...,l,2,なし,
フィルウ,通常,僕がやっておきますね、先生。,l,2,なし,
カリル,通常,フィルウくん！頼りにしてるよ！！,r,2,なし,
カリル,通常,フェイくんは、少しこの部屋で休んでいるといい。今日は大学もお休みだったはずだしね。,r,2,なし,
フェイ,通常,は、はい！,s,2,なし,フェードアウト
